Local authority code,Local authority name,LSOA code,LSOA name,Median House Price 2022,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against The Person,Total Crime 2022,IMD Score,Income Deprivation Score,Employment Deprivation Score,Education Deprivation Score,Health Deprivation Score,Crime Score,Housing and Services Deprivation Score,Living Environment Deprivation Score,Total Population 2015,Average PTAI 2015,PTAL
E09000003,Barnet,E01000206,Barnet 033B,6250000.0,12.0,12.0,3.0,3.0,0.0,10.0,1.0,15.0,54.0,22.0,132.0,9.118,0.013,0.012,1.793,-2.703,0.147,38.568,24.319,1538,2.80062,1b
E09000003,Barnet,E01000207,Barnet 033C,2212500.0,5.0,6.0,1.0,1.0,0.0,6.0,0.0,26.0,27.0,26.0,98.0,6.585,0.042,0.035,2.896,-2.053,-0.487,22.612,27.164,1572,3.89728,1b
E09000003,Barnet,E01000208,Barnet 033D,674975.0,5.0,9.0,0.0,0.0,0.0,3.0,3.0,7.0,22.0,26.0,75.0,6.612,0.028,0.01,1.282,-2.453,0.17,26.632,22.502,1644,10.2776,3
E09000003,Barnet,E01000209,Barnet 035B,1002500.0,1.0,16.0,2.0,0.0,0.0,9.0,0.0,12.0,26.0,12.0,78.0,7.058,0.048,0.035,0.414,-1.562,-0.013,23.561,22.769,1502,5.37832,2
E09000003,Barnet,E01000210,Barnet 033E,997500.0,5.0,14.0,2.0,2.0,0.0,4.0,2.0,4.0,28.0,21.0,82.0,8.197,0.058,0.033,0.518,-1.85,0.359,19.894,27.374,1571,3.92139,1b
E09000003,Barnet,E01000211,Barnet 035C,550000.0,15.0,34.0,2.0,2.0,0.0,24.0,2.0,126.0,27.0,79.0,311.0,14.568,0.112,0.072,3.225,-0.835,-0.369,30.399,27.757,2240,8.35726,2
E09000003,Barnet,E01000212,Barnet 035D,1839000.0,2.0,8.0,1.0,0.0,0.0,5.0,2.0,7.0,25.0,20.0,70.0,10.294,0.063,0.069,0.467,-1.669,-0.219,25.312,25.698,1489,7.74902,2
E09000003,Barnet,E01000213,Barnet 033F,3000000.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,4.0,30.0,6.0,50.0,7.583,0.028,0.025,1.321,-2.218,-0.45,30.621,31.33,1405,3.38152,1b
E09000003,Barnet,E01000214,Barnet 038E,515000.0,8.0,18.0,3.0,1.0,0.0,8.0,3.0,38.0,30.0,30.0,139.0,10.503,0.046,0.038,0.416,-2.082,0.283,36.7,23.936,1760,16.6422,4
E09000003,Barnet,E01000215,Barnet 037B,760000.0,3.0,5.0,3.0,3.0,0.0,2.0,2.0,18.0,16.0,30.0,82.0,13.565,0.103,0.062,6.101,-0.575,-0.456,30.762,22.19,2222,12.7091,3
E09000003,Barnet,E01000216,Barnet 035E,1180000.0,1.0,13.0,1.0,3.0,0.0,5.0,0.0,6.0,23.0,20.0,72.0,10.017,0.071,0.061,2.247,-1.305,-0.268,26.235,21.24,2082,8.80247,2
E09000003,Barnet,E01000217,Barnet 035F,1221000.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,7.0,15.0,14.0,52.0,10.826,0.066,0.056,9.331,-1.212,-0.342,24.166,29.261,1830,6.08947,2
E09000003,Barnet,E01000218,Barnet 037C,1050000.0,8.0,10.0,4.0,0.0,0.0,7.0,0.0,17.0,8.0,27.0,81.0,15.33,0.104,0.071,9.755,-0.755,0.132,28.641,25.532,1946,14.0212,3
E09000003,Barnet,E01000219,Barnet 037D,395500.0,13.0,21.0,6.0,1.0,1.0,13.0,2.0,15.0,21.0,44.0,137.0,19.87,0.097,0.093,14.667,-0.764,0.403,34.545,31.116,1982,18.7051,4
E09000003,Barnet,E01000220,Barnet 037E,817500.0,3.0,9.0,1.0,0.0,0.0,4.0,1.0,13.0,13.0,28.0,72.0,17.109,0.117,0.092,7.734,-0.48,-0.403,28.881,29.431,2075,13.651,3
E09000003,Barnet,E01000222,Barnet 040C,485000.0,8.0,15.0,3.0,1.0,2.0,6.0,0.0,9.0,20.0,48.0,112.0,27.098,0.163,0.13,12.267,-0.287,0.729,37.056,29.883,1733,6.68951,2
E09000003,Barnet,E01000223,Barnet 039C,512500.0,7.0,23.0,8.0,4.0,0.0,14.0,9.0,95.0,38.0,62.0,260.0,35.812,0.225,0.142,21.168,-0.005,0.888,47.877,28.472,1381,8.4522,2
E09000003,Barnet,E01000224,Barnet 040D,697500.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,13.0,27.0,25.0,76.0,19.679,0.152,0.097,14.005,-0.928,-0.054,29.827,27.142,1653,9.28636,2
E09000003,Barnet,E01000225,Barnet 037F,1240000.0,6.0,6.0,2.0,2.0,0.0,5.0,0.0,10.0,22.0,12.0,65.0,10.981,0.066,0.054,6.55,-1.052,-0.009,28.248,22.709,1979,5.41549,2
E09000003,Barnet,E01000226,Barnet 018D,446569.81931561825,7.0,5.0,1.0,4.0,0.0,3.0,2.0,14.0,18.0,34.0,88.0,31.658,0.224,0.123,23.481,0.373,-0.171,41.017,30.803,1792,6.72681,2
E09000003,Barnet,E01000227,Barnet 018E,675000.0,4.0,4.0,3.0,0.0,0.0,5.0,4.0,5.0,18.0,17.0,60.0,9.965,0.082,0.052,4.644,-1.687,-0.601,29.152,18.465,1944,5.5744,2
E09000003,Barnet,E01000228,Barnet 007A,747500.0,15.0,4.0,3.0,1.0,2.0,6.0,2.0,6.0,25.0,31.0,95.0,12.492,0.079,0.055,5.053,-1.232,0.618,28.384,17.002,1518,0.813966,1a
E09000003,Barnet,E01000229,Barnet 013B,520000.0,7.0,10.0,4.0,2.0,0.0,6.0,2.0,5.0,12.0,17.0,65.0,21.609,0.135,0.108,11.185,-0.868,0.071,43.196,18.134,1767,2.50364,1b
E09000003,Barnet,E01000230,Barnet 013C,575000.0,5.0,7.0,3.0,1.0,0.0,5.0,0.0,6.0,23.0,9.0,59.0,7.886,0.071,0.044,8.824,-1.463,-0.336,20.598,14.054,1867,5.12524,2
